iter	MultiClass
0	1.038363199
1	0.9942529484
2	0.9606185136
3	0.9342906484
4	0.9127741562
5	0.895283237
6	0.8812461707
7	0.8695211489
8	0.8596695517
9	0.8510175804
10	0.8444400659
11	0.8391003272
12	0.8335376087
13	0.8286229569
14	0.8243400815
15	0.8204822938
16	0.8178709313
17	0.8153844068
18	0.8133651787
19	0.8114899847
20	0.8090462331
21	0.807839223
22	0.8058545617
23	0.8048083277
24	0.8038896775
25	0.8025432811
26	0.8013313536
27	0.8002759623
28	0.7996432568
29	0.7985851786
30	0.7980856956
31	0.7973455874
32	0.7970377069
33	0.7965508707
34	0.7960769914
35	0.795421401
36	0.7951317076
37	0.79454921
38	0.7942219261
39	0.7939412137
40	0.7935962373
41	0.7929689178
42	0.7926720006
43	0.7921755119
44	0.7917455017
45	0.7911682188
46	0.7909288547
47	0.7907197559
48	0.7904656537
49	0.7901317952
50	0.7895606313
51	0.7893310223
52	0.7889230019
53	0.7877939616
54	0.7876212552
55	0.787146347
56	0.786937892
